Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C30","10uF 10V","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",158.767500,-83.540000,180.000000,top
"FID1","Fiducial","Fiducial_0.5mm_Mask1mm",137.000000,-130.500000,0.000000,top
"FID2","Fiducial","Fiducial_0.5mm_Mask1mm",163.900000,-78.000000,0.000000,top
"H1","M2.5","M2.5_Mounting_Hole_2.9mm_unplated",140.000000,-74.000000,0.000000,top
"H2","M2.5","M2.5_Mounting_Hole_2.9mm_unplated",163.000000,-74.000000,0.000000,top
"H3","M2.5","M2.5_Mounting_Hole_2.9mm_unplated",140.000000,-132.000000,0.000000,top
"H4","M2.5","M2.5_Mounting_Hole_2.9mm_unplated",163.000000,-132.000000,0.000000,top
"J1","95157-440LF","Amphenol_95157-440LF_2x20_P2.54mm_Vertical",139.970000,-102.970000,90.000000,top
"R1","10kΩ 5%","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",147.200000,-118.900000,0.000000,top
"R2","10kΩ 5%","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",147.300000,-116.600000,0.000000,top
"R3","2kΩ 1%","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",160.300000,-126.300000,0.000000,top
"R4","10kΩ 5%","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",147.100000,-122.300000,0.000000,top
"R13","75Ω 1%","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",153.800000,-99.202500,90.000000,top
"R14","75Ω 1%","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",153.800000,-94.105000,-90.000000,top
"R18","10kΩ 5%","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",152.000000,-113.300000,90.000000,top
"R19","10kΩ 5%","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",150.800000,-113.300000,90.000000,top
"R20","10kΩ 5%","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",149.600000,-113.300000,90.000000,top
"R21","10kΩ 5%","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",148.400000,-113.297500,90.000000,top
"R22","2.49kΩ 1%","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",148.400000,-105.152500,-90.000000,top
